Datetime,Symbol,Open,High,Low,Close,Volume,Market Cap
2018-04-07,BTC,6601.39000000,7070.00000000,6586.28000000,6895.80000000,32269.57826700,222323863.54144784
2018-04-08,BTC,6895.81000000,7109.13000000,6880.00000000,7018.00000000,21427.67316500,149967346.66268999
2018-04-09,BTC,7011.04000000,7185.00000000,6611.00000000,6782.72000000,34078.29720600,234309953.75033436
2018-04-10,BTC,6781.55000000,6890.00000000,6656.00000000,6843.90000000,22326.72809500,151417844.26639679
2018-04-11,BTC,6839.56000000,6990.00000000,6787.00000000,6953.79000000,23997.87117700,165264003.41270605
2018-04-12,BTC,6953.78000000,8012.23000000,6743.20000000,7923.00000000,64861.59598700,485176252.48933569
2018-04-13,BTC,7922.99000000,8233.39000000,7732.00000000,7877.41000000,55044.52314800,439884522.71194887
2018-04-14,BTC,7877.48000000,8186.00000000,7810.00000000,7999.01000000,31621.28635700,252868761.32061629
2018-04-15,BTC,8004.00000000,8429.54000000,7999.02000000,8355.00000000,27946.72044400,230287099.58430218
2018-04-16,BTC,8355.07000000,8419.00000000,7867.00000000,8064.92000000,36664.06971500,295817536.47495277
2018-04-17,BTC,8064.92000000,8173.70000000,7825.40000000,7885.02000000,32152.60356700,258221765.57371348
2018-04-18,BTC,7890.96000000,8236.43000000,7868.00000000,8173.00000000,26969.04457000,217649160.11017893
2018-04-19,BTC,8173.99000000,8296.00000000,8080.00000000,8278.00000000,27113.84746400,222675105.78845420
2018-04-20,BTC,8273.84000000,8930.00000000,8177.09000000,8856.98000000,39795.33748500,337288580.42571296
2018-04-21,BTC,8852.12000000,9035.00000000,8565.00000000,8915.31000000,40872.22990900,358915978.10403391
2018-04-22,BTC,8915.31000000,9020.67000000,8727.68000000,8787.02000000,29458.25348000,261804372.90934709
2018-04-23,BTC,8785.70000000,8985.00000000,8745.00000000,8934.01000000,25838.11470900,229754640.59668775
2018-04-24,BTC,8934.00000000,9731.01000000,8922.00000000,9619.99000000,46268.79010600,431210048.06250353
2018-04-25,BTC,9618.96000000,9759.82000000,8730.00000000,8869.99000000,81110.03758900,745137762.96886696
2018-04-26,BTC,8869.99000000,9307.48000000,8651.62000000,9266.00000000,43300.30424500,385046648.13786612
2018-04-27,BTC,9267.03000000,9395.00000000,8889.00000000,8915.35000000,37241.34703600,342805674.55176013
2018-04-28,BTC,8915.35000000,9427.48000000,8870.00000000,9348.00000000,34759.62842000,321653866.20018867
